Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Fernando Beltrán,mx MEX,MF,25,34,33,2807,31.2,4,1,5,4,0,0,3,0,0.13,0.03,0.16,0.13,0.16
Roberto Alvarado,mx MEX,"FW,MF",24,30,30,2643,29.4,11,6,17,6,5,5,7,0,0.37,0.2,0.58,0.2,0.41
Alan Mozo,mx MEX,DF,26,31,29,2663,29.6,0,2,2,0,0,0,6,0,0,0.07,0.07,0,0.07
Jesús Orozco,mx MEX,DF,21,28,28,2436,27.1,0,1,1,0,0,0,9,0,0,0.04,0.04,0,0.04
Ricardo Marín,mx MEX,FW,25,30,25,2037,22.6,6,1,7,6,0,0,4,1,0.27,0.04,0.31,0.27,0.31
Gilberto Sepúlveda,mx MEX,DF,24,25,24,2146,23.8,1,0,1,1,0,0,6,0,0.04,0,0.04,0.04,0.04
Erick Gutiérrez,mx MEX,MF,28,28,22,1969,21.9,3,1,4,3,0,0,6,0,0.14,0.05,0.18,0.14,0.18
Víctor Guzmán,mx MEX,MF,28,28,21,1663,18.5,6,4,10,3,3,4,8,0,0.32,0.22,0.54,0.16,0.38
José Rangel Aguilar,mx MEX,GK,23,19,19,1635,18.2,0,0,0,0,0,0,3,0,0,0,0,0,0
Antonio Briseño,mx MEX,DF,29,26,18,1649,18.3,3,1,4,3,0,0,6,0,0.16,0.05,0.22,0.16,0.22
Fernando Rubén González,mx MEX,MF,29,26,16,1455,16.2,0,1,1,0,0,0,6,1,0,0.06,0.06,0,0.06
Miguel Jiménez Ponce,mx MEX,GK,33,16,15,1425,15.8,0,0,0,0,0,0,0,0,0,0,0,0,0
Pavel Pérez,mx MEX,"FW,MF",25,21,13,1087,12.1,1,2,3,1,0,0,3,0,0.08,0.17,0.25,0.08,0.25
Isaác Brizuela,mx MEX,"MF,FW",32,18,13,1056,11.7,0,2,2,0,0,0,1,0,0,0.17,0.17,0,0.17
Cristian Calderón,mx MEX,DF,26,13,11,1005,11.2,0,3,3,0,0,0,2,0,0,0.27,0.27,0,0.27
Mateo Chávez,mx MEX,DF,19,11,8,744,8.3,0,0,0,0,0,0,3,0,0,0,0,0,0
Cade Cowell,us USA,"FW,MF",19,14,7,648,7.2,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14
Jonathan Padilla,mx MEX,"MF,FW",17,23,5,669,7.4,3,1,4,3,0,0,1,1,0.4,0.13,0.54,0.4,0.54
José Castillo Pérez,mx MEX,DF,21,8,5,513,5.7,0,0,0,0,0,0,2,0,0,0,0,0,0
Leonardo Sepulveda,us USA,DF,22,8,5,410,4.6,0,0,0,0,0,0,1,1,0,0,0,0,0
Alejandro Mayorga,mx MEX,DF,26,7,4,393,4.4,0,0,0,0,0,0,1,0,0,0,0,0,0
Alexis Vega,mx MEX,"MF,FW",25,8,4,383,4.3,1,0,1,1,0,1,2,1,0.23,0,0.23,0.23,0.23
Jesús Sánchez García,mx MEX,DF,33,6,4,301,3.3,0,0,0,0,0,0,2,0,0,0,0,0,0
Ronaldo Cisneros,mx MEX,FW,26,13,3,426,4.7,2,0,2,2,0,0,0,0,0.42,0,0.42,0.42,0.42
José Juan Macías,mx MEX,FW,23,6,3,287,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Raúl Martínez,mx MEX,DF,20,6,3,275,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier Hernández,mx MEX,FW,35,6,3,229,2.5,1,0,1,1,0,0,0,0,0.39,0,0.39,0.39,0.39
Juan Brigido,mx MEX,"MF,FW",21,9,2,266,3,1,0,1,1,0,0,0,0,0.34,0,0.34,0.34,0.34
Alan Torres,mx MEX,MF,23,8,1,228,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0
Daniel Armando Ríos,mx MEX,FW,28,5,0,69,0.8,0,0,0,0,0,0,2,0,0,0,0,0,0
Carlos Ernesto Cisneros,mx MEX,"FW,MF",29,2,0,50,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0
Armando González,mx MEX,MF,20,3,0,33,0.4,0,1,1,0,0,0,0,0,0,2.73,2.73,0,2.73
Zahid Muñoz,mx MEX,MF,22,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Gael García,mx MEX,FW,15,2,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Hiram Mier,mx MEX,DF,33,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ariel Castro,mx MEX,MF,18,0,0,,,,,,,,,,,,,,,
Luis Ledesma,mx MEX,MF,19,0,0,,,,,,,,,,,,,,,
Alejandro Organista,mx MEX,MF,23,0,0,,,,,,,,,,,,,,,
Luis Rey,mx MEX,DF,20,0,0,,,,,,,,,,,,,,,
Óscar Whalley,es ESP,GK,29,0,0,,,,,,,,,,,,,,,
